,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
38,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
51,frozenset({'pm10-Zelo dobra'}),frozenset({'pm25-Zelo dobra'}),0.8754992967651195,1.0,0.8754992967651195,1.0,1.0,0.0,inf,0.0
53,frozenset({'pm10-Zelo dobra'}),frozenset({'nox-Zelo nizka'}),0.8754992967651195,1.0,0.8754992967651195,1.0,1.0,0.0,inf,0.0
55,"frozenset({'pm10-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8754992967651195,1.0,0.8754992967651195,1.0,1.0,0.0,inf,0.0
56,"frozenset({'nox-Zelo nizka', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8754992967651195,1.0,0.8754992967651195,1.0,1.0,0.0,inf,0.0
59,frozenset({'pm10-Zelo dobra'}),"frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8754992967651195,1.0,0.8754992967651195,1.0,1.0,0.0,inf,0.0
63,"frozenset({'pm10-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8736427566807313,1.0,0.8736427566807313,1.0,1.0,0.0,inf,0.0
69,"frozenset({'pm10-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8736427566807313,1.0,0.8736427566807313,1.0,1.0,0.0,inf,0.0
75,"frozenset({'pm25-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8736427566807313,1.0,0.8736427566807313,1.0,1.0,0.0,inf,0.0
76,"frozenset({'nox-Zelo nizka', 'pm10-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8736427566807313,1.0,0.8736427566807313,1.0,1.0,0.0,inf,0.0
80,"frozenset({'pm10-Zelo dobra', 'no2-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8736427566807313,1.0,0.8736427566807313,1.0,1.0,0.0,inf,0.0
91,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8709423347398031,1.0,0.8709423347398031,1.0,1.0,0.0,inf,0.0
97,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra', 'pm25-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8709423347398031,1.0,0.8709423347398031,1.0,1.0,0.0,inf,0.0
98,"frozenset({'pm4-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8709423347398031,1.0,0.8709423347398031,1.0,1.0,0.0,inf,0.0
102,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8709423347398031,1.0,0.8709423347398031,1.0,1.0,0.0,inf,0.0
111,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8709423347398031,1.0,0.8709423347398031,1.0,1.0,0.0,inf,0.0
116,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8690857946554149,1.0,0.8690857946554149,1.0,1.0,0.0,inf,0.0
117,"frozenset({'pm25-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm10-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8690857946554149,1.0,0.8690857946554149,1.0,1.0,0.0,inf,0.0
121,"frozenset({'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm10-Zelo dobra'})","frozenset({'nox-Zelo nizka', 'pm25-Zelo dobra'})",0.8690857946554149,1.0,0.8690857946554149,1.0,1.0,0.0,inf,0.0
153,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'pm25-Zelo dobra'}),0.8690857946554149,1.0,0.8690857946554149,1.0,1.0,0.0,inf,0.0
167,"frozenset({'pm4-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra'})",frozenset({'nox-Zelo nizka'}),0.8690857946554149,1.0,0.8690857946554149,1.0,1.0,0.0,inf,0.0
