,support,itemsets
114,0.8709423347398031,"('pm10-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
146,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
53,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm4-Zelo dobra')"
148,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
151,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
103,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'pm4-Zelo dobra')"
168,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
106,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
108,0.8690857946554149,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
88,0.8513080168776371,"('benzen-Dobro', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
78,0.8513080168776371,"('pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
28,0.8513080168776371,"('pm25-Zelo dobra', 'pm1-Zelo dobra')"
89,0.8513080168776371,"('nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
81,0.8513080168776371,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
85,0.8513080168776371,"('benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
165,0.8513080168776371,"('pm25-Zelo dobra', 'benzen-Dobro', 'nox-Zelo nizka', 'pm1-Zelo dobra', 'pm4-Zelo dobra')"
35,0.8513080168776371,"('nox-Zelo nizka', 'pm1-Zelo dobra')"
32,0.8513080168776371,"('benzen-Dobro', 'pm1-Zelo dobra')"
