,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
34,['benzen-Dobro'],['no2-Zelo dobra'],1.0,0.9909985935302391,0.9909985935302391,0.9909985935302391,1.0,0.0,1.0,0.0
61,['no2-Zelo dobra'],['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
63,"['no2-Zelo dobra', 'pm25-Zelo dobra']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
67,['no2-Zelo dobra'],"['pm4-Zelo dobra', 'pm25-Zelo dobra']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
69,"['nox-Zelo nizka', 'no2-Zelo dobra']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
73,['no2-Zelo dobra'],"['nox-Zelo nizka', 'pm4-Zelo dobra']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
76,"['benzen-Dobro', 'no2-Zelo dobra']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
79,['no2-Zelo dobra'],"['benzen-Dobro', 'pm4-Zelo dobra']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
37,['pm25-Zelo dobra'],['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
38,['nox-Zelo nizka'],['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
41,"['nox-Zelo nizka', 'pm25-Zelo dobra']",['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
43,['nox-Zelo nizka'],"['pm25-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
45,['pm25-Zelo dobra'],"['nox-Zelo nizka', 'pm4-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
46,['benzen-Dobro'],['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
50,"['benzen-Dobro', 'pm25-Zelo dobra']",['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
52,['benzen-Dobro'],"['pm25-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
53,['pm25-Zelo dobra'],"['benzen-Dobro', 'pm4-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
54,"['nox-Zelo nizka', 'benzen-Dobro']",['pm4-Zelo dobra'],1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
57,['nox-Zelo nizka'],"['benzen-Dobro', 'pm4-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
58,['benzen-Dobro'],"['nox-Zelo nizka', 'pm4-Zelo dobra']",1.0,0.9627566807313642,0.9627566807313642,0.9627566807313642,1.0,0.0,1.0,0.0
65,['pm25-Zelo dobra'],"['no2-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
71,['nox-Zelo nizka'],"['no2-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
78,['benzen-Dobro'],"['no2-Zelo dobra', 'pm4-Zelo dobra']",1.0,0.9574683544303797,0.9574683544303797,0.9574683544303797,1.0,0.0,1.0,0.0
