,support,itemsets
138,0.8485513361462729,"('benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
164,0.8485513361462729,"('nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
111,0.8032630098452883,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
32,0.8032630098452883,"('pm10-Zelo dobra', 'pm1-Zelo dobra')"
126,0.8032630098452883,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
128,0.8032630098452883,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
148,0.8032630098452883,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
135,0.8032630098452883,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
113,0.8032630098452883,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
146,0.8032630098452883,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
72,0.8032630098452883,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'pm1-Zelo dobra')"
168,0.8032630098452883,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
161,0.8032630098452883,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
155,0.8032630098452883,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
101,0.8032630098452883,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'pm1-Zelo dobra')"
54,0.8032630098452883,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'pm1-Zelo dobra')"
82,0.8032630098452883,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
84,0.8032630098452883,"('pm10-Zelo dobra', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
85,0.8016315049226441,"('pm10-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
165,0.8016315049226441,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
137,0.8016315049226441,"('pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
136,0.8016315049226441,"('pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
163,0.8016315049226441,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
173,0.8016315049226441,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
162,0.8016315049226441,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
129,0.8016315049226441,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
149,0.8016315049226441,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
169,0.8016315049226441,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
174,0.8016315049226441,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
170,0.8016315049226441,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
157,0.8016315049226441,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
172,0.8016315049226441,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
114,0.8016315049226441,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
156,0.8016315049226441,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
90,0.5627566807313643,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro')"
9,0.5627566807313643,"('pm25-Zelo dobra', 'h-Nizka')"
18,0.5627566807313643,"('h-Nizka', 'benzen-Dobro')"
17,0.5627566807313643,"('h-Nizka', 'nox-Zelo nizka')"
61,0.5627566807313643,"('h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro')"
1,0.5627566807313643,"('h-Nizka',)"
39,0.5627566807313643,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka')"
40,0.5627566807313643,"('pm25-Zelo dobra', 'h-Nizka', 'benzen-Dobro')"
140,0.5568495077355837,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro', 'no2-Zelo dobra')"
65,0.5568495077355837,"('h-Nizka', 'benzen-Dobro', 'no2-Zelo dobra')"
63,0.5568495077355837,"('h-Nizka', 'nox-Zelo nizka', 'no2-Zelo dobra')"
20,0.5568495077355837,"('h-Nizka', 'no2-Zelo dobra')"
94,0.5568495077355837,"('pm25-Zelo dobra', 'h-Nizka', 'benzen-Dobro', 'no2-Zelo dobra')"
92,0.5568495077355837,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'no2-Zelo dobra')"
120,0.5568495077355837,"('h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro', 'no2-Zelo dobra')"
42,0.5568495077355837,"('pm25-Zelo dobra', 'h-Nizka', 'no2-Zelo dobra')"
19,0.5481293952180029,"('h-Nizka', 'pm4-Zelo dobra')"
119,0.5481293952180029,"('h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
139,0.5481293952180029,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
64,0.5481293952180029,"('h-Nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
62,0.5481293952180029,"('h-Nizka', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
91,0.5481293952180029,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
93,0.5481293952180029,"('pm25-Zelo dobra', 'h-Nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
41,0.5481293952180029,"('pm25-Zelo dobra', 'h-Nizka', 'pm4-Zelo dobra')"
142,0.5440225035161744,"('pm25-Zelo dobra', 'h-Nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
141,0.5440225035161744,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
66,0.5440225035161744,"('h-Nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
159,0.5440225035161744,"('h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
95,0.5440225035161744,"('pm25-Zelo dobra', 'h-Nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
166,0.5440225035161744,"('pm25-Zelo dobra', 'h-Nizka', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
121,0.5440225035161744,"('h-Nizka', 'nox-Zelo nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
122,0.5440225035161744,"('h-Nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
96,0.5078481012658228,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra', 'benzen-Dobro')"
43,0.5078481012658228,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra')"
3,0.5078481012658228,"('o3-Dobra',)"
11,0.5078481012658228,"('pm25-Zelo dobra', 'o3-Dobra')"
27,0.5078481012658228,"('o3-Dobra', 'benzen-Dobro')"
21,0.5078481012658228,"('nox-Zelo nizka', 'o3-Dobra')"
67,0.5078481012658228,"('nox-Zelo nizka', 'o3-Dobra', 'benzen-Dobro')"
49,0.5078481012658228,"('pm25-Zelo dobra', 'o3-Dobra', 'benzen-Dobro')"
68,0.5062728551336146,"('nox-Zelo nizka', 'o3-Dobra', 'no2-Zelo dobra')"
143,0.5062728551336146,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
28,0.5062728551336146,"('o3-Dobra', 'no2-Zelo dobra')"
108,0.5062728551336146,"('pm25-Zelo dobra', 'o3-Dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
50,0.5062728551336146,"('pm25-Zelo dobra', 'o3-Dobra', 'no2-Zelo dobra')"
97,0.5062728551336146,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'o3-Dobra', 'no2-Zelo dobra')"
79,0.5062728551336146,"('o3-Dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
123,0.5062728551336146,"('nox-Zelo nizka', 'o3-Dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
